anyseed,baseline,district,id_village_grp,slope,flat,random,gossip,trusted,trustgossip,created_year,created_month,nchildren
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2018,3,17
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,3,10
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,4,6
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,5,1
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,6,4
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,7,12
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,8,10
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,9,16
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,10,13
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,11,20
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2017,12,16
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2018,1,12
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2018,2,10
1,1,Bhiwani,1_03_06_V05Y_0,TRUE,FALSE,0,1,0,0,2018,3,13
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,3,5
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,4,3
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,5,5
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,6,2
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,7,6
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,8,1
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,9,2
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,10,5
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,11,5
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2017,12,5
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2018,1,3
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2018,2,1
1,1,Bhiwani,1_03_06_V06Y_0,TRUE,FALSE,0,1,0,0,2018,3,5
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,3,7
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,4,11
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,5,7
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,6,8
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,7,5
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,8,8
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,9,6
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,10,5
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,11,11
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2017,12,7
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2018,1,9
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2018,2,13
1,1,Bhiwani,1_03_08_V02Y_0,FALSE,TRUE,0,0,1,0,2018,3,15
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,3,11
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,4,11
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,5,8
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,6,12
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,7,6
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,8,10
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,9,16
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,10,13
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,11,8
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2017,12,15
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2018,1,16
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2018,2,19
1,1,Bhiwani,1_04_01_V01Y_0,FALSE,TRUE,0,0,1,0,2018,3,10
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,3,1
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,4,3
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,5,4
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,6,5
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,7,3
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,8,3
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,9,3
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,10,4
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,11,5
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2017,12,3
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2018,1,1
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2018,2,1
1,1,Bhiwani,1_04_02_V03Y_0,TRUE,FALSE,1,0,0,0,2018,3,3
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,3,22
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,4,16
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,5,17
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,6,16
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,7,16
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,8,15
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,9,14
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,10,17
1,1,Bhiwani,1_04_03_V01Y_0,TRUE,FALSE,0,1,0,0,2017,11,12
